
,"LISTA DE PRECIOS DELTRON"

,"Generada el :"2024-02-01 06:58:16
,"Almacen(es) :,'AREQUIPA'"
,"Almacen(es) :"
,"TIPO DE CAMBIO :3.820"
,"__________________________________"


"_______________","_______________","__________________________________","__________"
" ","CODIGO","CPU CI3 13XXX S1700","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
"cpu ci3 13xxx s1700","cpili313100","procesador intel core i3-13100 3.40/4.50ghz 12mb smartcache lga1700, 60w, intel 7(10n",6,143.72, ,"","W","intel corp"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","CPU CI3 9XXX S1151-V2","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
"cpu ci3 9xxx s1151-v2","cpili39100tt","procesador intel core i3-9100t, 3.10 / 3.70 ghz, 6mb caché l3, lga1151, 35w, 14nm, 4-",14,122.61, ,"","W","intel corp"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","CPU CI5 13XXX S1700","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
"cpu ci5 13xxx s1700","cpili513400","procesador intel core i5-13400 2.50/4.60ghz 20mb smartcaché, lga1700, 65w, intel 7(10",>20,233.06, ,"","W","intel corp"
"cpu ci5 13xxx s1700","cpili513400f","procesador intel core i5-13400f 2.50/4.60ghz 20mbsmartcaché, lga1700, 65w, intel 7(10",1,206.53, ,"","W","intel corp"
"cpu ci5 13xxx s1700","cpili513600k","procesador intel core i5-13600k 3.50/5.10ghz 24mbsmartcache lga1700, 125w, intel 7(10",1,318.48, ,"","W","intel corp"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","CPU CI5 14XXX S1700","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
"cpu ci5 14xxx s1700","cpili514600k","procesador intel core i5-14600k 3.50/5.30ghz, 24 mb intel smart caché, lga1700, 125w/",5,319.49, ,"","W","intel corp"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","CPU CI5 7XXX S1151","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
"cpu ci5 7xxx s1151","cpili57500","procesador intel core i5-7500, 3.40 ghz, 6 mb caché l3, lga1151, 65w, 14 nm.[@@@]inte",19,99.50, ,"","W","intel corp"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","CPU CI5 9XXX S1151-V2","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
